#3
S
#3
sid,name,age
#600
0,a528,70
1,a266,40
2,a511,32
3,a442,79
4,a228,71
5,a197,30
6,a521,62
7,a569,34
8,a114,52
9,a499,54
10,a97,59
11,a579,36
12,a217,25
13,a569,50
14,a6,51
15,a533,41
16,a407,74
17,a60,35
18,a393,86
19,a487,58
20,a559,90
21,a85,49
22,a423,44
23,a88,79
24,a338,33
25,a24,71
26,a344,63
27,a90,42
28,a509,82
29,a588,77
30,a256,25
31,a451,58
32,a448,35
33,a333,68
34,a547,48
35,a149,30
36,a4,40
37,a110,48
38,a592,78
39,a581,61
40,a225,86
41,a150,21
42,a388,53
43,a300,43
44,a139,52
45,a179,87
46,a94,49
47,a394,21
48,a219,43
49,a31,37
50,a224,20
51,a24,62
52,a434,49
53,a86,23
54,a385,89
55,a469,32
56,a509,34
57,a367,53
58,a482,42
59,a129,77
60,a127,31
61,a109,42
62,a80,27
63,a230,20
64,a121,47
65,a370,48
66,a451,58
67,a529,51
68,a27,62
69,a324,56
70,a576,46
71,a426,40
72,a595,34
73,a500,52
74,a454,73
75,a149,55
76,a236,55
77,a308,72
78,a530,36
79,a426,42
80,a359,49
81,a233,61
82,a77,66
83,a14,25
84,a520,60
85,a503,57
86,a416,78
87,a29,26
88,a471,79
89,a511,87
90,a95,24
91,a565,49
92,a15,30
93,a180,30
94,a574,66
95,a399,88
96,a261,84
97,a311,60
98,a310,80
99,a543,45
100,a0,41
101,a514,74
102,a560,49
103,a595,78
104,a60,47
105,a503,88
106,a150,75
107,a13,84
108,a326,68
109,a340,89
110,a132,80
111,a283,31
112,a242,65
113,a30,90
114,a486,29
115,a123,64
116,a109,58
117,a337,77
118,a51,59
119,a0,43
120,a407,67
121,a298,89
122,a379,86
123,a390,45
124,a481,52
125,a360,64
126,a400,51
127,a318,50
128,a363,32
129,a183,49
130,a249,44
131,a184,90
132,a355,38
133,a433,59
134,a591,48
135,a271,30
136,a475,83
137,a29,78
138,a574,58
139,a193,64
140,a311,49
141,a351,29
142,a89,35
143,a450,76
144,a167,87
145,a558,60
146,a353,86
147,a112,32
148,a284,43
149,a181,64
150,a75,64
151,a16,32
152,a110,83
153,a320,37
154,a74,35
155,a434,72
156,a582,20
157,a264,84
158,a125,52
159,a52,23
160,a80,35
161,a6,43
162,a76,76
163,a314,29
164,a433,38
165,a381,33
166,a22,55
167,a435,81
168,a272,20
169,a394,53
170,a270,43
171,a575,74
172,a268,68
173,a357,49
174,a41,40
175,a105,31
176,a481,54
177,a515,21
178,a586,34
179,a120,44
180,a439,75
181,a55,49
