#3
S
#3
sid,name,age
#400
0,a355,70
1,a392,87
2,a11,68
3,a112,22
4,a355,56
5,a269,85
6,a0,25
7,a301,26
8,a214,65
9,a14,72
10,a32,45
11,a333,39
12,a217,23
13,a224,26
14,a98,76
15,a47,37
16,a158,23
17,a224,41
18,a95,55
19,a363,21
20,a105,77
21,a130,87
22,a9,53
23,a202,57
24,a238,50
25,a223,80
26,a119,26
27,a394,55
28,a42,49
29,a136,59
30,a186,87
31,a348,43
32,a114,66
33,a93,21
34,a25,50
35,a201,68
36,a198,49
37,a125,27
38,a264,55
39,a71,78
40,a152,32
41,a31,89
42,a152,83
43,a101,89
44,a140,34
45,a76,80
46,a225,89
47,a305,66
48,a355,77
49,a378,78
50,a297,34
51,a303,28
52,a146,60
53,a236,80
54,a31,69
55,a13,70
56,a337,66
57,a231,29
58,a83,69
59,a11,71
60,a265,48
61,a274,79
62,a145,67
63,a341,63
64,a224,83
65,a192,35
66,a132,85
67,a119,27
68,a91,52
69,a356,73
70,a133,58
71,a188,68
72,a373,54
73,a229,88
74,a188,61
75,a86,22
76,a12,72
77,a176,25
78,a258,56
79,a226,89
80,a396,58
81,a56,86
82,a65,24
83,a369,79
84,a164,38
85,a79,74
86,a21,26
87,a236,53
88,a11,56
89,a198,64
90,a26,20
91,a280,86
92,a142,66
93,a114,43
94,a284,56
95,a145,53
96,a259,84
97,a358,80
98,a376,45
99,a346,47
100,a327,53
101,a356,42
102,a147,88
103,a359,48
104,a118,44
105,a342,61
106,a225,63
107,a164,21
108,a282,62
109,a258,32
110,a102,62
111,a29,48
112,a259,66
113,a369,22
114,a154,51
115,a380,20
116,a101,59
117,a349,48
118,a48,53
119,a167,21
120,a238,70
121,a103,22
122,a339,50
123,a147,89
124,a190,36
125,a205,37
126,a344,25
127,a98,64
128,a277,59
129,a246,24
130,a374,53
131,a125,52
132,a398,23
133,a154,80
134,a382,68
135,a127,50
136,a386,53
137,a333,24
138,a209,50
139,a151,52
140,a226,52
141,a90,54
142,a160,51
143,a12,79
144,a308,55
145,a27,53
146,a212,84
147,a322,63
148,a212,28
149,a124,64
150,a182,67
151,a151,80
152,a56,65
153,a6,72
154,a205,54
155,a26,33
156,a194,88
157,a347,81
158,a203,26
159,a87,55
160,a258,33
161,a143,32
162,a117,76
163,a388,69
164,a77,61
165,a56,58
166,a365,57
167,a53,84
168,a261,58
169,a213,77
170,a109,80
171,a203,84
172,a17,85
173,a382,41
174,a161,67
175,a191,79
176,a219,72
177,a23,35
178,a366,74
179,a304,69
180,a92,72
181,a75,37
182,a300,40
183,a225,55
184,a131,24
185,a358,87
186,a52,84
187,a279,46
188,a259,50
189,a331,80
190,a223,45
191,a16,77
192,a389,74
193,a4,51
194,a197,48
195,a212,67
196,a348,90
197,a104,55
198,a17,30
199,a15,23
200,a69,40
201,a313,24
202,a277,21
203,a56,30
204,a206,41
205,a17,29
206,a261,52
207,a133,57
208,a339,37
209,a289,54
210,a317,62
211,a176,55
212,a46,59
213,a51,58
214,a128,58
215,a204,76
216,a125,33
217,a159,68
218,a78,63
219,a53,39
220,a182,44
221,a67,78
222,a190,88
223,a272,39
224,a382,25
225,a143,37
226,a139,22
227,a89,22
228,a1,61
229,a360,26
230,a213,85
231,a275,84
232,a10,58
233,a310,28
234,a135,33
235,a396,75
236,a232,37
237,a328,83
238,a381,64
239,a358,60
240,a182,73
241,a296,38
242,a124,49
243,a285,52
244,a67,71
245,a183,40
246,a280,28
247,a396,83
248,a89,87
249,a307,83
250,a78,85
251,a300,84
252,a44,63
253,a46,35
254,a282,69
255,a264,68
256,a226,59
257,a22,81
258,a52,60
259,a366,86
260,a83,80
261,a290,89
262,a348,72
263,a27,83
264,a68,60
265,a371,20
266,a127,55
267,a180,73
268,a105,76
269,a234,63
270,a306,74
271,a85,71
272,a56,54
273,a225,34
274,a89,48
275,a370,74
276,a340,41
277,a285,38
278,a215,87
279,a183,46
280,a108,64
281,a356,77
282,a144,85
283,a16,71
284,a111,54
285,a299,83
286,a228,60
287,a335,88
288,a284,66
289,a1,70
290,a225,48
291,a387,41
292,a370,87
293,a82,30
294,a92,70
295,a239,82
296,a256,88
297,a113,50
298,a238,44
299,a196,21
300,a55,51
301,a215,68
302,a240,49
303,a135,56
304,a197,77
305,a25,43
306,a230,53
307,a214,62
308,a291,22
309,a376,84
310,a391,72
311,a105,88
312,a137,39
313,a8,37
314,a399,30
315,a77,21
316,a214,42
317,a384,85
318,a78,49
319,a234,32
320,a319,75
321,a107,75
322,a104,29
323,a334,78
324,a247,27
325,a263,78
326,a85,60
327,a48,67
328,a137,87
329,a207,47
330,a193,82
331,a249,45
332,a316,55
333,a340,22
334,a355,54
335,a258,71
336,a186,39
337,a101,20
338,a121,83
339,a184,69
340,a162,34
341,a333,40
342,a89,49
343,a171,33
344,a0,44
345,a50,84
346,a368,27
347,a337,76
348,a228,39
349,a366,38
350,a232,70
351,a225,52
352,a244,90
353,a345,45
354,a80,73
355,a145,37
356,a374,29
357,a182,79
358,a345,62
359,a36,29
360,a84,29
361,a307,76
362,a265,36
363,a362,43
364,a137,89
365,a108,37
366,a278,64
367,a96,61
368,a132,69
369,a285,54
370,a172,66
371,a238,89
372,a36,42
373,a260,41
374,a295,67
375,a183,37
376,a331,24
377,a343,57
378,a287,62
379,a70,40
380,a278,59
381,a102,82
382,a265,49
383,a197,90
384,a293,88
385,a321,38
386,a330,37
387,a175,90
388,a131,27
389,a159,43
390,a175,36
391,a358,48
392,a41,28
393,a226,84
394,a165,42
395,a86,46
396,a330,52
397,a76,45
398,a239,59
399,a366,61
$
B
#2
bid,color
#40
1000,black
1001,white
1002,blue
1003,blue
1004,blue
1005,black
1006,blue
1007,white
1008,white
1009,green
1010,green
1011,blue
1012,green
1013,white
1014,black
1015,white
1016,black
1017,black
1018,blue
1019,blue
1020,blue
1021,black
1022,red
1023,black
1024,black
1025,white
1026,blue
1027,red
1028,red
1029,red
1030,black
1031,black
1032,red
1033,blue
1034,black
1035,green
1036,black
1037,red
1038,white
1039,green
$
R
#3
rid,sid,bid
#2000
0,382,1037
1,119,1024
2,253,1036
3,34,1039
4,358,1038
5,311,1003
6,158,1025
7,64,1034
8,244,1021
9,367,1022
10,53,1035
11,163,1000
12,6,1015
13,267,1007
14,18,1000
15,360,1018
16,210,1002
17,211,1013
18,242,1034
19,182,1020
20,245,1013
21,258,1019
22,268,1004
23,216,1023
24,96,1017
25,347,1016
26,392,1029
27,222,1027
28,205,1002
29,117,1033
30,264,1008
31,214,1036
32,24,1038
33,334,1023
34,213,1022
35,176,1031
36,150,1018
37,297,1019
38,272,1009
39,338,1019
40,314,1012
41,226,1030
42,93,1000
43,289,1019
44,146,1035
45,341,1027
46,148,1001
47,38,1031
48,241,1034
49,222,1028
50,97,1017
51,127,1015
52,243,1004
53,301,1011
54,388,1032
55,359,1016
56,149,1021
57,263,1031
58,88,1004
59,144,1016
60,295,1029
61,324,1012
62,275,1030
63,392,1038
64,57,1021
65,161,1029
66,234,1025
67,93,1019
68,141,1003
69,296,1006
70,348,1004
71,390,1022
72,71,1031
73,41,1039
74,196,1039
75,383,1034
76,387,1012
77,214,1024
78,0,1027
79,8,1023
80,170,1037
81,172,1024
82,359,1023
83,202,1024
84,143,1031
85,281,1029
86,45,1017
87,297,1019
88,80,1033
89,117,1017
90,377,1039
91,370,1033
92,201,1031
93,244,1036
94,111,1024
95,193,1010
96,79,1005
97,329,1015
98,128,1013
99,85,1031
100,269,1030
101,241,1003
102,191,1037
103,169,1031
104,298,1035
105,270,1034
106,225,1002
107,147,1037
108,137,1001
109,192,1038
110,103,1027
111,45,1001
112,193,1032
113,253,1018
114,311,1009
115,273,1010
116,159,1037
117,90,1001
118,209,1038
119,201,1019
120,390,1023
121,299,1007
122,97,1003
123,95,1014
124,336,1006
125,252,1000
126,283,1016
127,219,1020
128,349,1006
129,95,1025
130,273,1005
131,119,1039
132,58,1011
133,379,1031
134,164,1004
135,193,1027
136,177,1035
137,53,1039
138,120,1022
139,189,1014
140,167,1039
141,53,1008
142,203,1022
143,181,1023
144,218,1016
145,317,1027
146,362,1039
147,227,1033
148,381,1011
149,371,1011
150,147,1003
151,149,1033
152,106,1011
153,4,1017
154,130,1038
155,332,1038
156,39,1011
157,281,1010
158,58,1019
159,357,1028
160,265,1021
161,46,1039
162,23,1009
163,138,1037
164,217,1013
165,139,1018
166,301,1002
167,149,1000
168,218,1011
169,316,1008
170,21,1037
171,34,1025
172,53,1006
173,328,1022
174,304,1023
175,279,1008
176,112,1024
177,307,1002
178,118,1019
179,185,1002
180,29,1018
181,215,1015
182,334,1002
183,311,1017
184,139,1000
185,369,1021
186,354,1000
187,19,1033
188,27,1012
189,362,1019
190,301,1003
191,190,1039
192,139,1020
193,162,1001
194,121,1011
195,55,1018
196,307,1029
197,393,1035
198,52,1000
199,151,1004
200,351,1025
201,50,1024
202,282,1014
203,248,1030
204,352,1014
205,389,1039
206,296,1015
207,309,1028
208,219,1007
209,261,1031
210,24,1009
211,326,1010
212,126,1010
213,155,1022
214,375,1024
215,123,1022
216,200,1000
217,328,1018
218,162,1018
219,97,1031
220,273,1019
221,275,1019
222,177,1002
223,236,1034
224,61,1014
225,206,1036
226,104,1007
227,99,1037
228,97,1011
229,311,1038
230,336,1019
231,114,1017
232,184,1026
233,371,1002
234,110,1038
235,328,1023
236,378,1008
237,322,1035
238,155,1035
239,349,1013
240,50,1009
241,151,1011
242,105,1009
243,337,1026
244,290,1015
245,82,1022
246,218,1011
247,372,1023
248,328,1000
249,352,1030
250,66,1039
251,349,1008
252,153,1031
253,373,1002
254,28,1023
255,129,1006
256,248,1017
257,279,1015
258,357,1022
259,308,1002
260,111,1026
261,12,1007
262,99,1018
263,178,1018
264,191,1025
265,130,1009
266,51,1031
267,33,1002
268,327,1006
269,355,1034
270,167,1004
271,90,1003
272,75,1007
273,149,1029
274,365,1025
275,364,1029
276,21,1021
277,333,1015
278,329,1014
279,66,1038
280,151,1016
281,237,1005
282,110,1007
283,260,1013
284,145,1033
285,281,1029
286,25,1023
287,286,1008
288,253,1006
289,269,1033
290,368,1021
291,373,1004
292,82,1011
293,299,1034
294,236,1018
295,177,1029
296,314,1007
297,180,1028
298,131,1028
299,396,1032
300,366,1023
301,201,1030
302,158,1011
303,114,1022
304,160,1014
305,323,1023
306,93,1023
307,21,1029
308,338,1020
309,314,1038
310,194,1003
311,169,1034
312,349,1026
313,75,1036
314,183,1014
315,110,1033
316,23,1007
317,372,1029
318,381,1025
319,125,1036
320,399,1025
321,284,1011
322,145,1008
323,371,1002
324,259,1011
325,6,1024
326,202,1026
327,121,1011
328,369,1035
329,302,1033
330,357,1030
331,344,1022
332,175,1023
333,276,1021
334,367,1013
335,219,1037
336,62,1020
337,36,1017
338,373,1035
339,120,1027
340,334,1016
341,266,1033
342,2,1002
343,20,1036
344,346,1000
345,120,1019
346,347,1025
347,153,1008
348,129,1011
349,270,1039
350,61,1030
351,140,1017
352,300,1026
353,389,1029
354,173,1037
355,360,1008
356,355,1012
357,54,1034
358,256,1015
359,34,1009
360,103,1030
361,105,1023
362,286,1027
363,311,1009
364,23,1032
365,59,1011
366,77,1025
367,227,1030
368,161,1001
369,162,1002
370,310,1022
371,127,1015
372,317,1030
373,281,1015
374,256,1030
375,158,1032
376,31,1026
377,167,1037
378,88,1013
379,314,1025
380,181,1002
381,150,1025
382,7,1017
383,382,1037
384,113,1014
385,96,1025
386,278,1011
387,67,1003
388,132,1009
389,79,1010
390,209,1008
391,49,1037
392,310,1027
393,380,1022
394,15,1035
395,89,1027
396,395,1024
397,134,1003
398,104,1036
399,225,1001
400,367,1006
401,207,1038
402,285,1027
403,161,1000
404,9,1024
405,9,1013
406,101,1019
407,373,1011
408,300,1017
409,184,1015
410,397,1013
411,325,1029
412,45,1019
413,186,1000
414,328,1004
415,83,1007
416,307,1023
417,308,1014
418,169,1002
419,56,1007
420,365,1024
421,167,1039
422,170,1037
423,334,1018
424,192,1010
425,77,1019
426,389,1016
427,337,1016
428,248,1036
429,187,1020
430,76,1001
431,105,1027
432,387,1038
433,182,1002
434,239,1038
435,24,1017
436,339,1033
437,166,1003
438,101,1007
439,119,1001
440,333,1039
441,169,1024
442,267,1024
443,30,1017
444,43,1039
445,247,1011
446,223,1009
447,352,1027
448,237,1005
449,44,1000
450,261,1011
451,302,1019
452,365,1038
453,70,1012
454,327,1012
455,336,1002
456,204,1021
457,162,1010
458,31,1015
459,170,1037
460,125,1038
461,73,1027
462,87,1028
463,169,1027
464,27,1030
465,92,1018
466,14,1029
467,367,1016
468,339,1020
469,241,1013
470,240,1019
471,100,1005
472,365,1025
473,366,1000
474,386,1034
475,146,1009
476,289,1009
477,147,1039
478,309,1031
479,124,1039
480,316,1033
481,103,1008
482,386,1028
483,253,1007
484,239,1016
485,260,1003
486,30,1035
487,24,1031
488,264,1027
489,232,1017
490,221,1021
491,93,1030
492,46,1037
493,131,1017
494,33,1010
495,347,1003
496,189,1006
497,86,1024
498,59,1004
499,382,1021
500,95,1012
501,154,1025
502,134,1008
503,78,1002
504,115,1023
505,36,1014
506,120,1016
507,49,1015
508,373,1013
509,251,1027
510,258,1023
511,276,1035
512,245,1035
513,202,1012
514,332,1026
515,97,1022
516,232,1006
517,249,1016
518,228,1005
519,57,1035
520,250,1011
521,255,1036
522,57,1011
523,31,1012
524,220,1034
525,100,1036
526,213,1030
527,322,1025
528,234,1024
529,285,1021
530,389,1026
531,367,1015
532,330,1037
533,175,1032
534,187,1030
535,301,1026
536,66,1020
537,182,1022
538,316,1017
539,144,1027
540,184,1007
541,143,1029
542,211,1016
543,280,1022
544,240,1026
545,252,1019
546,17,1039
547,245,1005
548,370,1035
549,171,1034
550,1,1027
551,32,1016
552,387,1037
553,334,1019
554,220,1038
555,383,1009
556,56,1000
557,58,1021
558,256,1003
559,319,1024
560,381,1003
561,131,1038
562,322,1035
563,329,1032
